oshwaUid,country,projectName,primaryType,hardwareLicense,softwareLicense,documentationLicense,certificationDate,stars,forks,watchers,directoryUrl
US002473,United States of America,Adafruit PiUART - USB Console and Power Add-on for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,5,1,9,https://certification.oshwa.org/US002473
US002485,United States of America,Adafruit Pro Trinket - 3V 12MHz,Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,17,8,12,https://certification.oshwa.org/US002485
US000336,United States of America,Adafruit Proto Cape Kit for Beagle Bone & Beagle Bone Black,Electronics,Other,MIT,CC BY-SA,,11,12,5,https://certification.oshwa.org/US000336
US000579,United States of America,Adafruit Push-button Power Switch Breakout,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,12,4,5,https://certification.oshwa.org/US000579
US002521,United States of America,Adafruit QSPI DIP Breakout Board - W25Q16 - 16 MBit 2 MByte,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,3,0,11,https://certification.oshwa.org/US002521
US002155,United States of America,Adafruit QT 5V to 3V Shifter Breakout - STEMMA QT / Qwiic,Electronics,Other,MIT,CC BY-SA,2022-12-14T00:00-05:00,3,1,10,https://certification.oshwa.org/US002155
US002111,United States of America,Adafruit QT Py ESP32 Pico - WiFi Dev Board with STEMMA QT,Electronics,Other,MIT,CC BY-SA,2022-05-20T00:00-04:00,9,3,10,https://certification.oshwa.org/US002111
US002112,United States of America,Adafruit QT Py ESP32-S3 WiFi Dev Board with STEMMA QT,Electronics,Other,MIT,CC BY-SA,2022-05-20T00:00-04:00,17,0,12,https://certification.oshwa.org/US002112
US000570,United States of America,Adafruit Quad 2x2 FeatherWing Kit with Headers,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,15,6,8,https://certification.oshwa.org/US000570
US000487,United States of America,Adafruit Quad Side-By-Side FeatherWing Kit with Headers,Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,15,6,8,https://certification.oshwa.org/US000487
US002635,United States of America,Adafruit Qwiic / Stemma QT Breakout Board,Electronics,Other,MIT,CC BY-SA,2024-05-11T00:00-04:00,6,0,9,https://certification.oshwa.org/US002635
US002667,United States of America,Adafruit Reversible USB Type A Plug Connector Breakout,Electronics,Other,MIT,CC BY-SA,2024-08-15T00:00-04:00,1,0,10,https://certification.oshwa.org/US002667
US002490,United States of America,Adafruit RGB Matrix Bonnet for Raspberry Pi,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,9,1,8,https://certification.oshwa.org/US002490
US002429,United States of America,Adafruit RGB Matrix Featherwing Kit,Electronics,Other,MIT,CC BY-SA,2023-08-22T00:00-04:00,3,1,9,https://certification.oshwa.org/US002429
US002522,United States of America,Adafruit RGB Matrix HAT + RTC for Raspberry Pi - Mini Kit,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,6,1,6,https://certification.oshwa.org/US002522
US002418,United States of America,Adafruit RP2040 Based Tester Brains PCB,Electronics,Other,MIT,CC BY-SA,2023-08-22T00:00-04:00,16,7,12,https://certification.oshwa.org/US002418
US000463,United States of America,Adafruit Silicon MEMS Microphone Breakout - SPW2430,Electronics,Other,MIT,CC BY-SA,2020-04-30T00:00-04:00,5,4,6,https://certification.oshwa.org/US000463
US002779,United States of America,Adafruit SPA06-003 Temperature + Pressure Sensor - STEMMA QT,Electronics,Other,MIT,CC BY-SA,2025-09-19T00:00-04:00,0,0,0,https://certification.oshwa.org/US002779
US002511,United States of America,Adafruit STEMMA Audio Amp - Mono 2.5W Class D - PAM8302,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,1,0,10,https://certification.oshwa.org/US002511
US002682,United States of America,Adafruit Sunken USB Type C Breakout Board - Downstream Connection,Electronics,Other,MIT,CC BY-SA,2024-10-01T00:00-04:00,2,0,9,https://certification.oshwa.org/US002682
US002517,United States of America,Adafruit TCA8418 Keypad Matrix and GPIO Expander Breakout,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,5,0,11,https://certification.oshwa.org/US002517
US002478,United States of America,Adafruit TFT 50pin to 40pin + AR1100 Touchscreen Adapter,Electronics,Other,MIT,CC BY-SA,2023-09-11T00:00-04:00,2,0,5,https://certification.oshwa.org/US002478
US000672,United States of America,Adafruit TMP235 - Plug-and-Play STEMMA Analog Temperature Sensor,Electronics,Other,MIT,CC BY-SA,2020-09-12T00:00-04:00,1,1,10,https://certification.oshwa.org/US000672
US002757,United States of America,Adafruit Triple LED Matrix Bonnet for Raspberry Pi - For HUB75,Electronics,Other,MIT,CC BY-SA,2025-07-10T00:00-04:00,1,0,1,https://certification.oshwa.org/US002757
US002595,United States of America,Adafruit TS3USB30 1 to 2 USB Switch,Electronics,Other,MIT,CC BY-SA,2024-01-18T00:00-05:00,2,1,10,https://certification.oshwa.org/US002595
US002449,United States of America,Adafruit TSL2561 Digital Luminosity/Lux/Light Sensor Breakout,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,9,10,5,https://certification.oshwa.org/US002449
US000518,United States of America,Adafruit USB C Breakout Board - Downstream Connection,Electronics,Other,MIT,CC BY-SA,2020-05-05T00:00-04:00,15,3,8,https://certification.oshwa.org/US000518
US000577,United States of America,Adafruit USB Isolator - 100mA Isolated Low/Full Speed USB,Electronics,Other,MIT,CC BY-SA,2020-05-09T00:00-04:00,16,1,9,https://certification.oshwa.org/US000577
US002733,United States of America,Adafruit USB Type C CC Resistor Fixer,Electronics,Other,MIT,CC BY-SA,2025-04-18T00:00-04:00,2,0,10,https://certification.oshwa.org/US002733
US002650,United States of America,Adafruit USB Type C Plug Breakout,Electronics,Other,MIT,CC BY-SA,2024-06-21T00:00-04:00,2,0,9,https://certification.oshwa.org/US002650
US002659,United States of America,Adafruit USB Type C Vertical Breakout - Downstream Connection,Electronics,Other,MIT,CC BY-SA,2024-07-10T00:00-04:00,4,1,10,https://certification.oshwa.org/US002659
US002453,United States of America,Adafruit VEML6075 UVA UVB and UV Index Sensor Breakout,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,1,0,8,https://certification.oshwa.org/US002453
US002472,United States of America,Adafruit VL53L1X Time of Flight Distance Sensor - ~30 to 4000mm,Electronics,Other,MIT,CC BY-SA,2023-09-08T00:00-04:00,3,2,10,https://certification.oshwa.org/US002472
US002147,United States of America,Adafruit WCH CH9102F Friend - USB to Serial Converter,Electronics,Other,MIT,CC BY-SA,2022-12-14T00:00-05:00,5,0,10,https://certification.oshwa.org/US002147
US002493,United States of America,Adafruit Wii Nunchuck Breakout Adapter,Electronics,Other,MIT,CC BY-SA,2023-09-14T00:00-04:00,10,4,11,https://certification.oshwa.org/US002493
US000067,United States of America,Adafruit-Metro-M0-Express,Electronics,Other,Other,CC BY-SA,2017-06-27T00:00-04:00,5,3,9,https://certification.oshwa.org/US000067
ES000044,Spain,Adaptador_CubeCell,IOT,CERN-OHL-1.2,No software,CC-BY-SA-4.0,2024-02-02T00:00-05:00,7,0,6,https://certification.oshwa.org/ES000044
HR000108,Croatia,ADC 12-bit ADS1015 4-channel with PGA breakout,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,0,0,1,https://certification.oshwa.org/HR000108
HR000109,Croatia,ADC 16-bit ADS1115 4-channel with PGA breakout,Electronics,TAPR,GPL,CC BY-SA,2023-06-28T00:00-04:00,1,0,1,https://certification.oshwa.org/HR000109
PE000002,Peru,Addon Battery yd-esp32s3,Electronics,CERN-OHL-P-2.0,GPL-3.0-only,CC-BY-4.0,2025-12-18T00:00-05:00,0,0,0,https://certification.oshwa.org/PE000002
