projectName,oshwaUid,hardwareLicense,softwareLicense,documentationLicense,status,notes
SparkFun OpenScale,US000908,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Opto-isolator Breakout,US001053,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Papa Soundie Audio Player,US000836,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun PCB Ruler - 12 inch,US002366,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Photodetector Breakout - MAX30101 (Qwiic),US000711,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Photon Battery Shield,US000955,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Photon IMU Shield,US000953,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Photon Micro OLED Shield,US000954,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Photon ProtoShield,US000956,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Photon Weather Shield,US000884,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pi AVR Programmer HAT,US000820,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun PicoBoard,US000989,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun PIR Breakout - 170uA (EKMC4607112K),US002198,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun PIR Breakout - 170uA w/ Headers,US002339,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun PIR Breakout - 1uA (EKMB1107112),US002197,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
"SparkFun PIR Breakout - 1uA, Headers (EKMB1107112)",US002338,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Power Delivery Board - USB-C (Qwiic),US000732,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pressure Sensor - BMP384 (Qwiic),US002286,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pressure Sensor - BMP581 (Qwiic),US002289,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pressure Sensor Breakout - MS5803-14BA,US000983,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pro Micro - RP2040,US002232,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pro nRF52840 Mini - Bluetooth Development Board,US000807,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
"SparkFun Pro RF - LoRa, 915MHz (SAMD21)",US000719,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun ProDriver - Stepper Motor Driver (TC78H670FTG),US000695,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Proto Pedal,US000902,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
"SparkFun Proximity Sensor Breakout - 20cm, VCNL4040 (Qwiic)",US000786,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pulse Oximeter and Heart Rate Sensor - MAX30101 & MAX32664 (Qwiic),US000755,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pulsed Radar Breakout - A111,US000752,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Pulsed Radar Breakout - A111,US002240,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun QuickLogic Thing Plus - EOS S3,US002225,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic 12 Bit ADC - 4 Channel (ADS1015),US000776,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Adapter,US000849,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Alphanumeric Display - Blue,US002249,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Alphanumeric Display - Green,US002241,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Alphanumeric Display - Pink,US002242,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Alphanumeric Display - Purple,US002252,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Alphanumeric Display - Red,US002250,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Alphanumeric Display - White,US002251,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Button - Green LED,US000698,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Button - Red LED,US000737,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Button Breakout,US000738,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic dToF Imager - TMF8820,US002280,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic dToF Imager - TMF8821,US002278,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Dual Solid State Relay,US000691,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Dynamic NFC/RFID Tag,US002340,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic EEPROM Breakout - 512Kbit,US002226,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Flex Glove Controller,US002372,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic GPIO,US002358,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic GPIO,US000706,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Haptic Driver - DA7280,US002209,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic HAT for Raspberry Pi,US000847,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Joystick,US002368,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Keypad - 12 Button,US000778,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic LED Stick - APA102C,US002224,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Micro - SAMD21 Development Board,US002360,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic micro:bit Breakout,US002217,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic micro:bit Breakout (with Headers),US002216,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Mini dToF Imager - TMF8820,US002279,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Mini dToF Imager - TMF8821,US002277,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Mini ToF Imager - VL53L5CX,US002261,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Motor Driver,US000754,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic MP3 Trigger,US000795,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic MP3 Trigger,US000690,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic MP3 Trigger,US000792,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic MultiPort,US002201,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Mux Breakout - 8 Channel (TCA9548A),US000701,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic OpenLog,US000790,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic pHAT Extension for Raspberry Pi 400,US002184,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic pHAT v2.0 for Raspberry Pi,US000739,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic PIR - 170uA (EKMC4607112K),US002196,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic PIR - 1uA (EKMB1107112),US002195,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Pro Micro - USB-C (ATmega32U4),US000734,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Quad Relay,US000697,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Scale - NAU7802,US000779,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Shield for Arduino,US000852,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Shield for Arduino Nano,US000713,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Shield for Photon,US000848,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Shield for Teensy,US000688,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Shield for Teensy - Extended,US000689,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Shield for Thing Plus,US002357,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic SHIM for Raspberry Pi,US000744,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Single Relay,US000803,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Speaker Amp,US002306,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Thermocouple Amplifier - MCP9600 (PCC Connector),US000726,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Thermocouple Amplifier - MCP9600 (Screw Terminals),US000727,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic ToF Imager - VL53L5CX,US002253,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic Twist - RGB Rotary Encoder Breakout,US000805,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Qwiic WiFi Shield - DA16200,US002239,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun QwiicBus - EndPoint,US002202,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun QwiicBus - MidPoint,US002203,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Real Time Clock Module,US000997,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Real Time Clock Module - RV-1805 (Qwiic),US000829,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Real Time Clock Module - RV-8803 (Qwiic),US000723,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RED-V RedBoard - SiFive RISC-V FE310 SoC,US000745,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RED-V Thing Plus - SiFive RISC-V FE310 SoC,US000746,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBoard - Programmed with Arduino,US000886,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Redboard Artemis,US000757,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Redboard Artemis ATP,US002363,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Redboard Artemis Nano,US000758,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBoard Edge,US000827,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBoard Plus,US002220,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBoard Qwiic,US000802,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBoard Turbo - SAMD21 Development Board,US000791,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBot Buzzer,US001005,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBot Mainboard,US001000,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBot Sensor - Accelerometer,US001006,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBot Sensor - Line Follower,US001017,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RedBot Sensor - Mechanical Bumper,US001004,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RFID Qwiic Reader,US000783,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RFID Reader Breakout,US000981,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RFM69 Breakout (434MHz),US000916,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RFM69 Breakout (915MHz),US000915,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RGB and Gesture Sensor - APDS-9960,US000973,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RGB LED Breakout - WS2812B,US000946,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RGB Light Sensor - ISL29125,US000991,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RJ11 Breakout,US000900,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RJ45 MagJack Breakout,US000966,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Rotary Switch Breakout,US000969,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Rotary Switch Potentiometer Breakout,US000957,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RP2040 mikroBUS Development Board,US002264,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RTK Express,US002231,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RTK Express Plus,US002238,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun RTK Surveyor,US002011,CERN-OHL-P-2.0,MIT,CC BY-SA,compatible,No compatibility issues detected
SparkFun RTK Surveyor,US002233,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun SAMD21 Dev Breakout,US000928,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun SAMD21 Mini Breakout,US000929,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun SAMD21 Mini Breakout,US000018,Other,No software,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SparkFun SD/MMC Card Breakout,US000987,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Serial Basic Breakout - CH340C and USB-C,US000806,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Serial Basic Breakout - CH340G,US000888,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Serial Controlled Motor Driver,US000897,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Servo pHat for Rasberry Pi,US000769,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Servo Trigger,US000959,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Simultaneous RFID Reader - M6E Nano,US000885,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Single Lead Heart Rate Monitor - AD8232,US000986,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Snappable Protoboard,US000942,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun SOIC to DIP Adapter - 8-Pin,US000940,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun SOIC to DIP Adapter - 8-Pin,US000047,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SparkFun Soil Moisture Sensor,US000943,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Soil Moisture Sensor,US000867,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Solder-able Breadboard - Mini,US000999,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Sound Detector,US000863,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Sound Detector,US001001,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Sound Detector,US000012,Other,Other,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SparkFun SparkPunk Sequencer Kit,US000004,Other,MIT,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SparkFun SparkPunk Sound Kit,US000016,Other,Other,CC BY-SA,cannot_assess,Hardware license is 'Other' - cannot verify compatibility
SparkFun SparkPunk Sound Kit,US000990,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Spectral Sensor Breakout - AS7262 Visible (Qwiic),US000854,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Spectral Sensor Breakout - AS7263 NIR (Qwiic),US000855,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Spectrum Shield,US000960,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun SSOP to DIP Adapter - 16-Pin,US000892,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Sunny Buddy - MPPT Solar Charger,US000974,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun TeensyView,US000882,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Temperature Sensor - STTS22H (Qwiic),US002327,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun TFT LCD Breakout - 1.8' (128x160),US000780,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun THAT 1206 InGenius Breakout,US000880,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun THAT 1646 OutSmarts Breakout,US000881,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thermocouple Breakout - MAX31855K,US000930,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - Artemis,US000753,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - DA16200,US002300,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - ESP32 WROOM (U.FL),US002182,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - ESP32 WROOM (USB-C),US002298,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - ESP32-S2 WROOM,US002204,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - NINA-B306,US002341,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - nRF9160,US002212,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - RP2040,US002188,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - SAMD51,US000775,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - STM32,US002213,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - XBee3 Micro (Chip Antenna),US000760,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus - XBee3 Micro (U.FL),US000759,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus Dual-Port Logging Shield,US002287,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Thing Plus Matter - MGM240P,US002335,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun ToF Range Finder Breakout - VL6180,US000964,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun ToF Range Finder Sensor - VL6180,US000965,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Top pHAT for Raspberry Pi,US000722,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Transceiver Breakout - MAX3232,US001037,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Transparent OLED HUD Breakout (Qwiic),US000787,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
SparkFun Triad Spectroscopy Sensor - AS7265x (Qwiic),US000811,CERN,MIT,CC BY-SA,compatible,Legacy hardware license (CERN) - consider updating to CERN-OHL-2.0 family
